"Name","Phone","Email","Address","City","State","Licence"
"Organic Roots","619-481-2281","weedmaps@organicroots420.com","7243 University Ave","La Mesa","CA","medical"
"Central Remedies - South LA","(323) 231-9700","centralremedies@yahoo.com","5712 S. Central ave","Los Angeles","CA","medical"
"Kush Kingdom","19514130266","kushkingdom777@gmail.com","24643 Alessandro Blvd","Moreno Valley","CA","medical"
"BONAFIDE COLLECTIVE - Pre ICO","(818) 394 - 9353","BonafideCollective@gmail.com","7570 San Fernando Rd.","Burbank","CA","medical"
"The House of OG's","6194319255","thehouseofogs@gmail.com","4406 40th Street","San Diego","CA","medical"
"GreenLeaf Collective","310-710-3099","greenleaf.compton@gmail.com","1560 South Long Beach Blvd","Compton","CA","medical"
"LA MART ","3239206748","LAMART420@OUTLOOK.COM","6001 S Broadway St","Los Angles","CA","medical"
"420 Tailor Shop","619-361-4656","weedmaps@420tailorshop.com","1241 Third Ave","Chula Vista","Ca","medical"
"OSH","818-454-3976","OneStopHealers@yahoo.com","14064 Foothill Blvd","Sylmar","CA","medical"
"New Age Compassion Care Center","310-257-0011","newagecompassioncenter@gmail.com","1719 Pacific Coast Highway","Lomita","CA","medical"
"TOKE CENTRAL ","323-313-5380","tokecentral420@gmail.com","9221 South Central Ave","Los Angeles","CA","medical"
"Tender Green's Patient Group","562-206-9347","tgpg@gmail.com","655 W 7th St","San Pedro","CA","medical"
"CCC Pre-ICO","818-821-1171","cccpropd@gmail.com","13432 Sherman Way","North Hollywood","California","medical"
"420 Manchester"," (310) 590-3192","manchester420collective@gmail.com","420 E Manchester","Inglewood","CA","medical"
"East LA Caregivers ","323-479-7833","eastlacaregivers215@gmail.com","5910 Whittier Blvd","Los Angeles","CA","medical"
"Mr. Greens","8184060255","mrgreens90744@gmail.com","910 West PACIFIC COAST HWY","Wilmington","CA","medical"
"UNITED MEDICAL ALLIANCE","(818)746-7313","umacare2013@gmail.com","18446 Hart St. Unit M2","Reseda","CA","medical"
